cellular[8],responseTime.cellular[8],cellular[7],responseTime.cellular[7],cellular[1],responseTime.cellular[1],cellular[6],responseTime.cellular[6],cellular[4],responseTime.cellular[4],cellular[5],responseTime.cellular[5],cellular[9],responseTime.cellular[9],cellular[2],responseTime.cellular[2],cellular[0],responseTime.cellular[0],cellular[3],responseTime.cellular[3]
0.001,0.000255465983999999,0.001,0.000774248855,0.001,0.000964709940999999,0.001,0.000399487811999999,0.001,0.000284153332999999,0.002,0.001046834283999999,0.002,0.000524063532999999,0.004,0.000535541744999999,0.004,0.000398292806999999,0.009,0.000705540104999999
0.003,0.000795872818999999,0.013,0.000781467241,0.002,0.000852771881999999,0.002,0.000362778816,0.004,0.000303940698999999,0.004,0.000091147597999999,0.004,0.000269074796999999,0.007,0.000068098057999999,0.005,0.00026511676,0.009,0.000503820507
0.006,0.000377497509999999,0.015,0.000475271366999999,0.006,0.00040941063,0.002,0.000274120358999999,0.005,0.000890025658999999,0.006,0.000416659010999999,0.007,0.000865082847999999,0.007,0.000015167828,0.005,0.000043709210999999,0.01,0.000692653486999999
0.006,0.000324976752999999,0.016,0.000412525423,0.007,0.000789633648999999,0.005,0.000329177823,0.007,0.000282349945,0.008,0.000811574151999999,0.008,0.000357409210999999,0.008,0.000698925964,0.006,0.000979128063999999,0.013,0.000127231780999999
0.007,0.000509784122,0.018,0.000881250452,0.007,0.000119076477999999,0.007,0.000584484940999999,0.008,0.000501642197999999,0.01,0.001000909604,0.009,0.000728346668999999,0.008,0.000225529351999999,0.008,0.000248962348999999,0.016,0.000887345687999999
0.009,0.000020006440999999,0.018,0.000733602081999999,0.01,0.000752194237,0.007,0.000265800438999999,0.011,0.001504294610999999,0.013,0.000030461649999999,0.009,0.000391251079,0.009,0.000133713754,0.01,0.000272043083,0.017,0.000821883406999999
0.01,0.000589374119999999,0.019,0.000812110219999999,0.01,0.000041766850999999,0.007,0.000027079504,0.012,0.000312565078,0.015,0.000835300669999999,0.011,0.000146576842999999,0.011,0.000206834974999999,0.011,0.000377903155999999,0.017,0.000384599959999999
0.011,0.000699147044,0.021,0.000721918215,0.011,0.000812713742999999,0.009,0.000491495576999999,0.015,0.000610145623999999,0.015,0.000049332050999999,0.015,0.000948222729999999,0.015,0.000688117941999999,0.012,0.000970194823999999,0.019,0.000554489085999999
0.011,0.000465375199999999,0.022,0.000657769813999999,0.014,0.000671949943999999,0.011,0.000604290998999999,0.017,0.000936245392999999,0.017,0.000827967108999999,0.019,0.00017472171,0.015,0.000481205591999999,0.012,0.000079773096999999,0.02,0.000679194811999999
0.015,0.000579947415999999,0.022,0.000616360950999999,0.02,0.000060273984999999,0.011,0.000476455815999999,0.019,0.000176193098999999,0.019,0.000916677781999999,0.024,0.00089140951,0.017,0.000464320295999999,0.013,0.000376750993999999,0.02,0.000278018773999999
0.021,0.000023221958,0.025,0.001843637377999999,0.021,0.000275756782999999,0.013,0.001773399506999999,0.02,0.000160353548999999,0.019,0.000169759180999999,0.026,0.000580090331999999,0.019,0.000528461025999999,0.015,0.000497435843999999,0.024,0.000920807640999999
0.023,0.000342185745,0.026,0.000785646523999999,0.022,0.000266300264999999,0.013,0.000852465041999999,0.022,0.000648615815999999,0.023,0.000182960987999999,0.029,0.000878144760999999,0.02,0.00024607619,0.016,0.000903404661999999,0.024,0.000295079896999999
0.027,0.000336524652999999,0.028,0.000267564753999999,0.026,0.000265625247,0.016,0.000559719720999999,0.023,0.000694430707999999,0.024,0.000431136652999999,0.029,0.000402510034999999,0.02,0.000135282849999999,0.017,0.000902381497,0.025,0.000725442086999999
0.03,0.000635159881999999,0.034,0.000470182103999999,0.028,0.000959433460999999,0.017,0.000780536962999999,0.028,0.000346457711999999,0.027,0.000903314008999999,0.035,0.000228861938,0.024,0.000520429241999999,0.019,0.000623981392999999,0.031,0.000380699276999999
0.034,0.000808498882999999,0.034,0.000089472949,0.029,0.000772784056999999,0.017,0.000581254855999999,0.03,0.002325181881999999,0.027,0.000204597709999999,0.036,0.000465561814999999,0.03,0.000049704358,0.02,0.000571857125999999,0.032,0.000153463616999999
0.035,0.000583183800999999,0.038,0.000018794061999999,0.032,0.001023690346999999,0.018,0.000841672871999999,0.031,0.000887807803,0.034,0.001739807394,0.038,0.000418391474999999,0.031,0.000983695820999999,0.021,0.000907724594999999,0.033,0.000951182305999999
0.035,0.000417483271999999,0.039,0.000880646262999999,0.033,0.000434526588,0.02,0.000433057995999999,0.031,0.000514267490999999,0.034,0.000226472476999999,0.039,0.00079635524,0.038,0.000116244808999999,0.022,0.000481423132999999,0.037,0.000755133292999999
0.035,0.000251429787999999,0.048,0.000439714622,0.034,0.000231703744999999,0.023,0.001867824049999999,0.035,0.000011802665999999,0.038,0.000658724999999999,0.042,0.000253856049,0.039,0.000967640310999999,0.027,0.000507388075,0.038,0.000092568802
0.038,0.000391030148999999,0.049,0.000050702920999999,0.035,0.000347947590999999,0.027,0.000464800076999999,0.036,0.000748408818999999,0.039,0.000649627531999999,0.043,0.000997038250999999,0.04,0.000494997895999999,0.029,0.000030618464999999,0.039,0.000098531177
0.038,0.000049626536,0.052,0.000291673151999999,0.037,0.000240809633999999,0.029,0.000208784408999999,0.04,0.000773657174,0.04,0.000170654900999999,0.043,0.000270253915999999,0.04,0.000004776109999999,0.03,0.000563930242999999,0.043,0.000778481467
0.042,0.000114637791999999,0.053,0.000159887088999999,0.037,0.000002539678999999,0.033,0.000515817930999999,0.042,0.000415738796999999,0.043,0.000633629646999999,0.055,0.000745166400999999,0.043,0.000980530623999999,0.036,0.000099692896999999,0.044,0.000989035199999999
0.042,0.000052072946999999,0.056,0.000758052972999999,0.042,0.000839046084999999,0.039,0.000941680971999999,0.042,0.000010878563999999,0.049,0.000483227945999999,0.058,0.000868056471999999,0.045,0.000608083012999999,0.038,0.000102949718999999,0.046,0.000552299442999999
0.043,0.000690584398999999,0.062,0.000895318230999999,0.042,0.000532983442999999,0.042,0.00072321524,0.047,0.000860910607999999,0.051,0.000894674653,0.058,0.000700337183,0.048,0.000713810921999999,0.04,0.000883052864999999,0.046,0.000363469034
0.043,0.000581694921,0.063,0.000914259086,0.045,0.000888951939999999,0.044,0.001765506883999999,0.048,0.000355791214999999,0.052,0.000227108335999999,0.059,0.000843357004999999,0.048,0.000571007386999999,0.043,0.000677883385999999,0.046,0.000361811332999999
0.045,0.000445688613,0.064,0.000837660324999999,0.046,0.000711525071999999,0.05,0.000554716735999999,0.049,0.000532632981999999,0.054,0.000482201335999999,0.059,0.000173530808999999,0.051,0.000675048290999999,0.044,0.000561868893999999,0.05,0.000767651101999999
0.046,0.000846056694,0.064,0.000159239763999999,0.047,0.000912696634,0.051,0.000911118210999999,0.056,0.000168531516999999,0.054,0.000212017115999999,0.062,0.000025817227999999,0.054,0.001487559282,0.045,0.000040586607999999,0.05,0.000660745792999999
0.047,0.000923712896,0.065,0.000590611759,0.049,0.000279307643999999,0.052,0.000375004209999999,0.066,0.000393669893999999,0.056,0.001845010361,0.064,0.000493305069,0.054,0.000406069815,0.046,0.000799720193999999,0.05,0.000458425738
0.047,0.000806689400999999,0.065,0.000545963187999999,0.053,0.001378574446999999,0.055,0.000490045505999999,0.067,0.000360817955,0.062,0.000999116579999999,0.066,0.000412090394999999,0.056,0.000992107997999999,0.046,0.000415476987999999,0.05,0.000412803522999999
0.05,0.000405350644999999,0.066,0.000510457941999999,0.053,0.000145827208999999,0.056,0.000074608625999999,0.067,0.000078750289999999,0.062,0.000939687932999999,0.07,0.000673053434999999,0.058,0.000063117816,0.047,0.00092393453,0.052,0.000327138435999999
0.052,0.000282032294999999,0.067,0.000238650796999999,0.055,0.000765471594999999,0.059,0.000905980667999999,0.069,0.000913570509999999,0.067,0.000184518716,0.07,0.000122119789,0.06,0.000719889334999999,0.047,0.000533219844,0.055,0.000941267661999999
0.057,0.000261569063999999,0.069,0.000226990627999999,0.057,0.000968843009,0.065,0.000711298432999999,0.07,0.000525956390999999,0.068,0.000716256551999999,0.071,0.000675522329999999,0.061,0.000619363872999999,0.053,0.000218031615999999,0.056,0.000346455568999999
0.059,0.000023187902,0.07,0.000741108803999999,0.06,0.000073737875999999,0.065,0.000027950031999999,0.075,0.000634636425999999,0.074,0.000239069003999999,0.075,0.000716089276,0.062,0.000509370076999999,0.056,0.000571355274999999,0.06,0.000609992523
0.06,0.000666799233999999,0.072,0.000988106525999999,0.061,0.000252640290999999,0.068,0.000038437162999999,0.076,0.00095915292,0.074,0.000193400675999999,0.078,0.000372999297999999,0.067,0.000299188371999999,0.062,0.000829603191,0.064,0.000819209010999999
0.062,0.000012580726,0.075,0.000843829993999999,0.067,0.000927044600999999,0.073,0.000682437104999999,0.076,0.000540365593999999,0.079,0.001912945334,0.079,0.000104154543999999,0.068,0.000688807929,0.063,0.000808481376,0.069,0.000715915258999999
0.066,0.000443527299999999,0.078,0.000796351911999999,0.068,0.000715204287,0.075,0.000896527474999999,0.076,0.000041942672999999,0.08,0.000899012586999999,0.08,0.000170738693999999,0.07,0.000397862427999999,0.067,0.000537316201999999,0.069,0.000099282061999999
0.066,0.000347020677999999,0.081,0.001463124758999999,0.07,0.000606602013999999,0.077,0.000769936119999999,0.077,0.000953878177999999,0.082,0.000799571427,0.083,0.000202235489999999,0.071,0.000155838422999999,0.068,0.000102197364,0.072,0.000993210892999999
0.067,0.000177222893999999,0.082,0.000544361880999999,0.071,0.001192239319999999,0.077,0.000399978644999999,0.078,0.000559224182,0.082,0.000291227079999999,0.087,0.000884545993999999,0.073,0.001236664379999999,0.07,0.000022959721,0.073,0.000830470346999999
0.069,0.000618099532,0.082,0.000416911987,0.072,0.000744972223999999,0.078,0.000958853625999999,0.079,0.000754130589,0.083,0.000567112417999999,0.091,0.000910893894999999,0.073,0.000416223011,0.071,0.000939261138999999,0.074,0.00083619442
0.078,0.000828620022999999,0.084,0.000440443253999999,0.073,0.000693651286999999,0.078,0.000553665232999999,0.081,0.000732584132,0.084,0.000551087026999999,0.091,0.000886758328999999,0.077,0.000499510485999999,0.071,0.000458109878,0.078,0.000580856250999999
0.082,0.000261656873999999,0.084,0.000068442800999999,0.074,0.000489247208999999,0.079,0.000706470993999999,0.087,0.000805674422999999,0.088,0.000986035474999999,0.096,0.000918257314999999,0.078,0.000661606749999999,0.072,0.000172452085,0.08,0.000382388384999999
0.085,0.000573470347999999,0.085,0.00014478734,0.074,0.000205884945999999,0.079,0.000641934466999999,0.089,0.000786245854999999,0.089,0.000053493063999999,0.098,0.000712598493,0.079,0.000703935533999999,0.074,0.000146672514999999,0.083,0.00071606431
0.09,0.000836188471999999,0.09,0.000860130662999999,0.076,0.000014415432999999,0.081,0.000951945063,0.09,0.000389920030999999,0.092,0.000913156193999999,0.1,0.000288800576999999,0.082,0.001417642783999999,0.074,0.000124917436999999,0.083,0.000381314522999999
0.091,0.000182470030999999,0.09,0.000491379238,0.077,0.000938782567999999,0.081,0.000430193599999999,0.09,0.000222215089999999,0.092,0.000909255402999999,0.101,0.000602342803999999,0.082,0.001218103192999999,0.075,0.000825256131,0.086,0.000887275307999999
0.094,0.000634811616,0.094,0.001896658999999999,0.077,0.000583805481999999,0.082,0.000344492260999999,0.091,0.000154488692999999,0.096,0.000330556748,0.102,0.000059327138,0.083,0.000565338883,0.078,0.000595055918999999,0.088,0.000466708175999999
0.097,0.000608350746999999,0.095,0.000161155889999999,0.077,0.000412716212999999,0.084,0.000834824186999999,0.093,0.000412648485999999,0.098,0.002257913369,0.103,0.000279986707999999,0.084,0.000779577494,0.079,0.000367477624999999,0.088,0.000394060662999999
0.097,0.000126352114999999,0.097,0.000780863362999999,0.078,0.000497948512999999,0.094,0.000399330264999999,0.093,0.000109647435999999,0.098,0.001896989574999999,0.103,0.000168573281999999,0.085,0.000646079548999999,0.079,0.000064114758999999,0.09,0.000436984374999999
0.099,0.000763019588,0.098,0.000774433734,0.078,0.00001777609,0.096,0.000044567498999999,0.097,0.000454573245999999,0.098,0.000951247545999999,0.104,0.000087000224999999,0.086,0.000573409103,0.084,0.000923338439999999,0.091,0.001397127401999999
0.102,0.000520943801999999,0.099,0.000902971925,0.079,0.000308893895999999,0.1,0.000471393424999999,0.098,0.000029479564999999,0.1,0.000713853726999999,0.107,0.000356818284,0.087,0.000230018215999999,0.084,0.000225572341999999,0.093,0.000856105037999999
0.107,0.000870301556999999,0.101,0.000742209687,0.081,0.000732970164999999,0.101,0.000786505314999999,0.099,0.000335978706,0.1,0.000226027120999999,0.108,0.000024212820999999,0.09,0.000518302120999999,0.085,0.000627546146999999,0.095,0.002061715621999999
0.109,0.000282304200999999,0.102,0.000999408735999999,0.081,0.000702933169999999,0.106,0.000055931852999999,0.099,0.000217044435,0.101,0.000830163052999999,0.11,0.000212236170999999,0.097,0.000616291627,0.089,0.000773985693999999,0.095,0.001337249259999999
0.111,0.000048865310999999,0.102,0.000232067306999999,0.083,0.000574126804999999,0.107,0.00086709125,0.108,0.000383020406999999,0.102,0.000792294625999999,0.116,0.000494076393999999,0.099,0.000470935386999999,0.091,0.000587624978999999,0.096,0.000681528964999999
0.112,0.000937347336,0.103,0.000252345785999999,0.09,0.000693585435,0.113,0.000073827663,0.114,0.000386378275999999,0.106,0.000193489657,0.116,0.000088405116999999,0.1,0.000316542425999999,0.094,0.000368820392,0.097,0.000800007578
0.116,0.000882474951999999,0.103,0.000108341495999999,0.092,0.000916293067,0.122,0.000587968559999999,0.116,0.000801808321,0.111,0.001173746253,0.119,0.000453765760999999,0.101,0.000866960534999999,0.098,0.000398020239999999,0.099,0.000061392278999999
0.116,0.000143331645999999,0.106,0.000954100139999999,0.093,0.001102882795999999,0.122,0.000236579998999999,0.116,0.000259485389,0.111,0.001034193920999999,0.119,0.000289882272999999,0.103,0.000384376849999999,0.099,0.000419927153999999,0.103,0.000881734185
0.12,0.000761001357999999,0.106,0.000853822951999999,0.094,0.000391627805,0.125,0.000269463692999999,0.123,0.000852205845999999,0.111,0.000443508780999999,0.127,0.000862125266999999,0.106,0.000078768158999999,0.099,0.000097597904999999,0.105,0.000266265785
0.124,0.000634466478,0.108,0.000521625301,0.097,0.000952111347999999,0.126,0.000746356917999999,0.125,0.000193455227999999,0.112,0.000223045347999999,0.127,0.000385785564999999,0.11,0.000523256035,0.103,0.000444947805999999,0.106,0.000480341179999999
0.129,0.000814740509999999,0.109,0.000356099833999999,0.097,0.000137121066999999,0.127,0.000154732096999999,0.126,0.000312450367999999,0.114,0.000383276562,0.13,0.001656337903999999,0.113,0.000435932844999999,0.105,0.000789532630999999,0.115,0.00023140602
0.13,0.000022628659999999,0.11,0.000292867062,0.103,0.000678610714,0.129,0.000746047847999999,0.127,0.000405473839999999,0.115,0.001323331302999999,0.13,0.000366670680999999,0.115,0.000715076966999999,0.106,0.000891349174999999,0.116,0.000308912492999999
0.132,0.000801749138999999,0.113,0.000875258703999999,0.104,0.000720691668,0.129,0.000401471696999999,0.129,0.000949053131999999,0.115,0.000808634092999999,0.132,0.000919949015999999,0.117,0.001710222869999999,0.106,0.000544652666,0.123,0.000688917261999999
0.132,0.000348255760999999,0.114,0.000212107851999999,0.104,0.000594124581999999,0.13,0.000149747946999999,0.13,0.001860822448999999,0.116,0.000615945361999999,0.132,0.00073177934,0.12,0.000171289190999999,0.111,0.000767466618999999,0.124,0.000812129455999999
0.133,0.000681059524999999,0.117,0.000106250162999999,0.105,0.000566996851,0.133,0.000373611855999999,0.137,0.000012890376999999,0.116,0.000154380185999999,0.133,0.000553991220999999,0.122,0.000742072595999999,0.111,0.000387819544999999,0.125,0.000214245747
0.137,0.000288474891999999,0.12,0.000041744021999999,0.105,0.000258763247999999,0.135,0.000925279073999999,0.138,0.000553129492999999,0.117,0.000994814562,0.134,0.000842332506,0.127,0.000110394322999999,0.112,0.000868715317999999,0.129,0.000865204922999999
0.142,0.000477405359999999,0.121,0.000499871180999999,0.108,0.000984110043,0.136,0.000437683739999999,0.138,0.000096183965,0.117,0.000607839369,0.138,0.000826541785999999,0.131,0.000929559065999999,0.112,0.000649034333999999,0.138,0.000975412822999999
0.147,0.000727290775999999,0.122,0.000856204856999999,0.109,0.000415090056999999,0.137,0.000734970429999999,0.141,0.000159805424999999,0.117,0.000313229663999999,0.138,0.000760776100999999,0.134,0.000846715901999999,0.113,0.000325964227999999,0.138,0.000577807718
0.147,0.000488962754999999,0.124,0.000750304669999999,0.109,0.000099028679999999,0.14,0.000457209026999999,0.149,0.000695992005999999,0.122,0.000923985833999999,0.141,0.001817990031,0.135,0.000667780755999999,0.114,0.000872319632999999,0.139,0.000154148013999999
0.147,0.000212209150999999,0.124,0.000163104566999999,0.11,0.00097974721,0.142,0.000865882153999999,0.15,0.000577625422999999,0.124,0.000727673923999999,0.142,0.000505781261999999,0.137,0.000831079783999999,0.116,0.000724844265999999,0.141,0.000711048243
0.147,0.000049748298,0.128,0.000075070220999999,0.113,0.000869997237999999,0.144,0.000344333492999999,0.15,0.000496128797,0.126,0.000500735940999999,0.144,0.000998613539999999,0.139,0.000113200596999999,0.117,0.000510210501,0.142,0.000850182491999999
0.15,0.000984705162,0.129,0.000638739616999999,0.115,0.000699206315999999,0.148,0.000125841540999999,0.151,0.000100802722999999,0.134,0.000216208852999999,0.145,0.000483656328999999,0.142,0.001802806021,0.117,0.000023355071999999,0.146,0.000955661217
