cellular[8],,cellular[1],,cellular[0],,cellular[9],,cellular[7],,cellular[5],,cellular[3],,cellular[2],,cellular[4],,cellular[6],
0.001,0.000595104350999999,0.001,0.000389118603,0.001,0.000555504424999999,0.002,0.000451462904999999,0.003,0.000165138926999999,0.003,0.000242507265,0.006,0.000465332554,0.007,0.000327415473,0.01,0.000706336707999999,0.01,0.000430663906999999
0.002,0.000691106830999999,0.012,0.000664918170999999,0.014,0.000249288351999999,0.008,0.000706082260999999,0.007,0.000057902088999999,0.008,0.000505365681999999,0.014,0.001852260310999999,0.008,0.000363716167,0.012,0.000816386778,0.021,0.000688554476999999
0.002,0.000017400343999999,0.015,0.002171700567999999,0.015,0.000700763993,0.013,0.000067745430999999,0.011,0.000074936049999999,0.013,0.001646518704999999,0.018,0.000966019222,0.011,0.000988595235,0.015,0.000552346519999999,0.022,0.000495083196999999
0.009,0.000766077777999999,0.015,0.000618703992999999,0.016,0.000782749726,0.015,0.000550210261,0.021,0.000581071563999999,0.017,0.000610631918999999,0.019,0.000626453466999999,0.014,0.000086347497999999,0.015,0.000065981876,0.025,0.000021319628
0.012,0.000299213796999999,0.018,0.000381846650999999,0.017,0.001416891635,0.023,0.000134613372999999,0.026,0.000953152855999999,0.018,0.000184957105999999,0.02,0.000060041784999999,0.018,0.000133635758,0.02,0.000797705262999999,0.034,0.000617673468999999
0.013,0.000823272121999999,0.027,0.000706882639999999,0.017,0.000840005172999999,0.029,0.000354021906999999,0.033,0.000099327051,0.023,0.000850828469999999,0.024,0.00055906235,0.023,0.000065874938999999,0.026,0.000816497956999999,0.036,0.000305347542999999
0.016,0.000618411302,0.027,0.000169046014,0.017,0.000349171062999999,0.034,0.000627205217,0.05,0.000166746322999999,0.024,0.000642607182,0.036,0.000392925854999999,0.032,0.000521021014999999,0.033,0.000670092910999999,0.042,0.000932937139999999
0.019,0.000304008942999999,0.033,0.000421404552999999,0.019,0.000839252443999999,0.034,0.000149676306999999,0.052,0.000794918011999999,0.027,0.000453398691999999,0.044,0.000113398997999999,0.033,0.000652316064999999,0.037,0.000502395873999999,0.043,0.000215458460999999
0.025,0.000850615997,0.036,0.000697458249999999,0.024,0.000330268839999999,0.04,0.000006493246999999,0.06,0.000738862688999999,0.029,0.000828409340999999,0.052,0.000780551575999999,0.038,0.001276924454999999,0.038,0.000610400688999999,0.048,0.000425131780999999
0.027,0.000098782764999999,0.043,0.000054239368999999,0.026,0.000983705279999999,0.044,0.000764955178,0.06,0.000241338509999999,0.032,0.000640607704999999,0.052,0.000660244804999999,0.04,0.000523899236999999,0.04,0.000002952595999999,0.051,0.000170142742999999
0.034,0.000216250496999999,0.054,0.000894531534999999,0.027,0.000051863834,0.053,0.000180164088999999,0.067,0.000191717542999999,0.041,0.000334706461999999,0.052,0.000337206725999999,0.049,0.000929021252999999,0.041,0.000458508559999999,0.054,0.000257460731999999
0.044,0.000986989646999999,0.062,0.000925071526,0.029,0.000781203935,0.062,0.000507354839999999,0.071,0.000132649908999999,0.054,0.000579180116999999,0.054,0.000333166071,0.054,0.000493511125,0.043,0.000903863491999999,0.058,0.000107929404
0.048,0.000596431879999999,0.063,0.000013927990999999,0.032,0.000310771435999999,0.067,0.000286866761999999,0.076,0.000088113927999999,0.056,0.000776293541999999,0.056,0.000391468215999999,0.059,0.000518911639999999,0.048,0.000000053020999999,0.071,0.000952565758999999
0.05,0.000958575940999999,0.066,0.000436967679,0.034,0.000139908814,0.075,0.000739324257,0.078,0.000918701807999999,0.056,0.000388223596999999,0.058,0.000037049788999999,0.067,0.000208725123999999,0.05,0.000742820056999999,0.072,0.000365653289
0.055,0.00092314032,0.067,0.000896209657999999,0.035,0.000934749677,0.076,0.000335748974999999,0.081,0.000278061370999999,0.056,0.000362767389,0.059,0.000168779318,0.072,0.000830981261999999,0.052,0.000478252025999999,0.082,0.00056852137
0.063,0.000782623724,0.077,0.000634380674,0.037,0.000523494840999999,0.078,0.000893485124,0.082,0.000541217532999999,0.064,0.000787191894999999,0.071,0.000450184355999999,0.075,0.000303512368999999,0.054,0.000975081857999999,0.086,0.000571796926
0.063,0.000697256639999999,0.104,0.000893155132999999,0.039,0.000260758791,0.079,0.000606762119,0.09,0.000914236512,0.075,0.000200310418999999,0.081,0.000196514369999999,0.076,0.000772471138999999,0.055,0.000028713748999999,0.086,0.000246199733999999
0.066,0.000618522951999999,0.11,0.000354150902999999,0.043,0.000803249711999999,0.08,0.000164675532999999,0.091,0.000785884806999999,0.077,0.000195213275999999,0.082,0.000063393707999999,0.076,0.000541861622999999,0.06,0.000616454992999999,0.095,0.000665414844999999
0.068,0.000857024957999999,0.116,0.000459352583999999,0.045,0.000015146578999999,0.085,0.000182379292,0.094,0.000098152992999999,0.083,0.000470832788,0.085,0.000074661425999999,0.076,0.000384555164999999,0.066,0.000493146282,0.101,0.000566488484999999
0.07,0.000805263761999999,0.118,0.00033135784,0.054,0.000818903018999999,0.087,0.000001595790999999,0.096,0.000295235818,0.085,0.000612801511999999,0.089,0.000542482308,0.077,0.000539154470999999,0.071,0.000784189584999999,0.111,0.000291088662999999
