rep #0,,rep #1,,rep #2,,rep #3,,rep #4,,rep #5,,rep #6,,rep #7,,rep #8,,rep #9,
0.001,121,0.001,65,0.001,62,0.001,52,0.001,0,0.001,129,0.001,28,0.001,0,0.001,191,0.001,40
0.002,161,0.002,225,0.002,0,0.002,125,0.002,0,0.002,270,0.002,177,0.002,113,0.002,120,0.002,176
0.003,152,0.003,25,0.003,99,0.003,42,0.003,58,0.003,66,0.003,266,0.003,50,0.003,130,0.003,147
0.004,86,0.004,53,0.004,137,0.004,0,0.004,57,0.004,108,0.004,242,0.004,40,0.004,48,0.004,79
0.005,118,0.005,29,0.005,22,0.005,0,0.005,69,0.005,8,0.005,93,0.005,205,0.005,158,0.005,155
0.006,13,0.006,0,0.006,4,0.006,73,0.006,17,0.006,126,0.006,39,0.006,52,0.006,161,0.006,0
0.007,9,0.007,63,0.007,46,0.007,94,0.007,100,0.007,140,0.007,145,0.007,82,0.007,64,0.007,153
0.008,146,0.008,184,0.008,252,0.008,145,0.008,96,0.008,175,0.008,76,0.008,204,0.008,86,0.008,0
0.009,82,0.009,48,0.009,71,0.009,66,0.009,199,0.009,98,0.009,16,0.009,139,0.009,25,0.009,123
0.01,47,0.01,158,0.01,22,0.01,76,0.01,87,0.01,102,0.01,121,0.01,167,0.01,0,0.01,190
0.011,102,0.011,61,0.011,132,0.011,99,0.011,0,0.011,42,0.011,131,0.011,26,0.011,219,0.011,172
0.012,143,0.012,211,0.012,272,0.012,154,0.012,127,0.012,105,0.012,102,0.012,21,0.012,106,0.012,52
0.013,0,0.013,121,0.013,54,0.013,176,0.013,85,0.013,337,0.013,13,0.013,0,0.013,69,0.013,59
0.014,68,0.014,202,0.014,80,0.014,131,0.014,0,0.014,173,0.014,110,0.014,0,0.014,223,0.014,135
0.015,177,0.015,61,0.015,66,0.015,235,0.015,116,0.015,47,0.015,0,0.015,65,0.015,13,0.015,30
0.016,100,0.016,172,0.016,29,0.016,62,0.016,206,0.016,147,0.016,125,0.016,139,0.016,167,0.016,57
0.017,47,0.017,87,0.017,0,0.017,147,0.017,46,0.017,112,0.017,75,0.017,39,0.017,78,0.017,217
0.018,117,0.018,93,0.018,14,0.018,153,0.018,217,0.018,59,0.018,124,0.018,221,0.018,107,0.018,123
0.019,103,0.019,135,0.019,68,0.019,148,0.019,85,0.019,159,0.019,73,0.019,276,0.019,151,0.019,4
0.02,67,0.02,76,0.02,99,0.02,110,0.02,88,0.02,49,0.02,32,0.02,120,0.02,41,0.02,68
0.021,96,0.021,121,0.021,254,0.021,115,0.021,130,0.021,78,0.021,178,0.021,99,0.021,103,0.021,88
0.022,214,0.022,175,0.022,137,0.022,54,0.022,45,0.022,9,0.022,155,0.022,176,0.022,138,0.022,49
0.023,0,0.023,170,0.023,9,0.023,50,0.023,226,0.023,109,0.023,185,0.023,30,0.023,36,0.023,77
0.024,120,0.024,58,0.024,82,0.024,96,0.024,174,0.024,177,0.024,111,0.024,29,0.024,53,0.024,88
0.025,61,0.025,78,0.025,113,0.025,67,0.025,182,0.025,160,0.025,12,0.025,67,0.025,219,0.025,0
0.026,175,0.026,69,0.026,70,0.026,108,0.026,77,0.026,157,0.026,106,0.026,222,0.026,148,0.026,130
0.027,210,0.027,7,0.027,47,0.027,277,0.027,0,0.027,0,0.027,120,0.027,214,0.027,73,0.027,30
0.028,43,0.028,0,0.028,135,0.028,0,0.028,41,0.028,191,0.028,68,0.028,132,0.028,76,0.028,90
0.029,0,0.029,109,0.029,15,0.029,123,0.029,21,0.029,118,0.029,151,0.029,162,0.029,173,0.029,121
0.03,110,0.03,147,0.03,69,0.03,0,0.03,72,0.03,70,0.03,145,0.03,110,0.03,79,0.03,106
0.031,118,0.031,119,0.031,32,0.031,0,0.031,19,0.031,104,0.031,196,0.031,267,0.031,53,0.031,74
0.032,77,0.032,43,0.032,63,0.032,78,0.032,137,0.032,211,0.032,44,0.032,96,0.032,204,0.032,0
0.033,84,0.033,116,0.033,5,0.033,131,0.033,129,0.033,34,0.033,141,0.033,107,0.033,74,0.033,56
0.034,12,0.034,73,0.034,43,0.034,195,0.034,88,0.034,215,0.034,241,0.034,16,0.034,6,0.034,0
0.035,70,0.035,105,0.035,123,0.035,71,0.035,129,0.035,61,0.035,0,0.035,44,0.035,142,0.035,75
0.036,71,0.036,0,0.036,159,0.036,91,0.036,0,0.036,222,0.036,169,0.036,63,0.036,99,0.036,178
0.037,122,0.037,132,0.037,148,0.037,125,0.037,78,0.037,17,0.037,123,0.037,80,0.037,13,0.037,100
0.038,110,0.038,78,0.038,71,0.038,53,0.038,141,0.038,0,0.038,0,0.038,62,0.038,57,0.038,52
0.039,13,0.039,85,0.039,199,0.039,49,0.039,203,0.039,149,0.039,210,0.039,55,0.039,174,0.039,121
0.04,256,0.04,178,0.04,129,0.04,87,0.04,61,0.04,96,0.04,118,0.04,13,0.04,63,0.04,97
0.041,0,0.041,128,0.041,73,0.041,137,0.041,45,0.041,98,0.041,220,0.041,55,0.041,121,0.041,75
0.042,25,0.042,135,0.042,63,0.042,59,0.042,111,0.042,48,0.042,166,0.042,137,0.042,0,0.042,126
