rep #0,,rep #1,,rep #2,,rep #3,,rep #4,,rep #5,,rep #6,,rep #7,,rep #8,,rep #9,
0.001,474,0.001,336,0.001,213,0.001,271,0.001,64,0.001,448,0.001,612,0.001,238,0.001,338,0.001,387
0.002,229,0.002,264,0.002,245,0.002,269,0.002,282,0.002,471,0.002,371,0.002,304,0.002,479,0.002,314
0.003,434,0.003,347,0.003,312,0.003,305,0.003,483,0.003,180,0.003,479,0.003,441,0.003,482,0.003,552
0.004,221,0.004,545,0.004,504,0.004,454,0.004,433,0.004,628,0.004,370,0.004,156,0.004,548,0.004,206
0.005,331,0.005,410,0.005,200,0.005,749,0.005,403,0.005,482,0.005,200,0.005,688,0.005,311,0.005,284
0.006,446,0.006,621,0.006,649,0.006,412,0.006,632,0.006,681,0.006,484,0.006,324,0.006,191,0.006,368
0.007,436,0.007,220,0.007,113,0.007,252,0.007,276,0.007,602,0.007,331,0.007,313,0.007,533,0.007,330
0.008,489,0.008,295,0.008,326,0.008,166,0.008,420,0.008,386,0.008,301,0.008,733,0.008,435,0.008,468
0.009,200,0.009,435,0.009,484,0.009,468,0.009,282,0.009,318,0.009,638,0.009,283,0.009,525,0.009,169
0.01,335,0.01,458,0.01,412,0.01,318,0.01,375,0.01,520,0.01,472,0.01,269,0.01,347,0.01,348
0.011,386,0.011,386,0.011,304,0.011,359,0.011,372,0.011,494,0.011,665,0.011,434,0.011,344,0.011,395
0.012,594,0.012,353,0.012,254,0.012,251,0.012,371,0.012,161,0.012,629,0.012,538,0.012,375,0.012,741
0.013,277,0.013,207,0.013,571,0.013,331,0.013,293,0.013,418,0.013,545,0.013,520,0.013,456,0.013,467
0.014,704,0.014,261,0.014,281,0.014,457,0.014,214,0.014,265,0.014,299,0.014,376,0.014,568,0.014,442
0.015,233,0.015,307,0.015,228,0.015,304,0.015,330,0.015,121,0.015,342,0.015,361,0.015,585,0.015,452
0.016,423,0.016,160,0.016,417,0.016,202,0.016,759,0.016,328,0.016,327,0.016,355,0.016,288,0.016,185
0.017,301,0.017,348,0.017,207,0.017,268,0.017,487,0.017,377,0.017,468,0.017,348,0.017,480,0.017,220
0.018,310,0.018,434,0.018,188,0.018,488,0.018,351,0.018,335,0.018,560,0.018,224,0.018,585,0.018,438
0.019,140,0.019,361,0.019,393,0.019,387,0.019,358,0.019,502,0.019,592,0.019,466,0.019,192,0.019,295
0.02,447,0.02,452,0.02,455,0.02,304,0.02,635,0.02,465,0.02,233,0.02,411,0.02,468,0.02,291
0.021,413,0.021,181,0.021,239,0.021,687,0.021,233,0.021,284,0.021,358,0.021,337,0.021,610,0.021,382
0.022,179,0.022,377,0.022,515,0.022,260,0.022,303,0.022,506,0.022,162,0.022,579,0.022,223,0.022,311
0.023,523,0.023,445,0.023,477,0.023,382,0.023,508,0.023,485,0.023,259,0.023,168,0.023,639,0.023,239
0.024,477,0.024,212,0.024,254,0.024,377,0.024,216,0.024,254,0.024,537,0.024,367,0.024,435,0.024,584
0.025,232,0.025,545,0.025,283,0.025,579,0.025,616,0.025,120,0.025,673,0.025,517,0.025,477,0.025,549
0.026,313,0.026,366,0.026,135,0.026,235,0.026,278,0.026,370,0.026,463,0.026,144,0.026,596,0.026,313
0.027,358,0.027,236,0.027,353,0.027,275,0.027,507,0.027,277,0.027,422,0.027,377,0.027,205,0.027,370
0.028,147,0.028,331,0.028,581,0.028,443,0.028,487,0.028,122,0.028,215,0.028,217,0.028,451,0.028,178
0.029,480,0.029,272,0.029,503,0.029,550,0.029,235,0.029,389,0.029,164,0.029,249,0.029,535,0.029,195
0.03,347,0.03,337,0.03,249,0.03,497,0.03,221,0.03,298,0.03,254,0.03,665,0.03,336,0.03,369
0.031,413,0.031,147,0.031,326,0.031,273,0.031,290,0.031,346,0.031,307,0.031,225,0.031,358,0.031,584
0.032,220,0.032,314,0.032,399,0.032,471,0.032,359,0.032,231,0.032,403,0.032,262,0.032,515,0.032,381
0.033,155,0.033,413,0.033,432,0.033,307,0.033,97,0.033,256,0.033,420,0.033,508,0.033,383,0.033,364
0.034,468,0.034,549,0.034,369,0.034,158,0.034,374,0.034,424,0.034,558,0.034,331,0.034,222,0.034,386
0.035,300,0.035,466,0.035,457,0.035,192,0.035,180,0.035,513,0.035,543,0.035,186,0.035,353,0.035,584
0.036,156,0.036,232,0.036,433,0.036,304,0.036,510,0.036,345,0.036,156,0.036,416,0.036,347,0.036,393
0.037,416,0.037,496,0.037,510,0.037,506,0.037,423,0.037,307,0.037,649,0.037,287,0.037,261,0.037,339
0.038,444,0.038,417,0.038,395,0.038,304,0.038,353,0.038,372,0.038,511,0.038,224,0.038,479,0.038,220
0.039,240,0.039,398,0.039,426,0.039,566,0.039,258,0.039,120,0.039,302,0.039,538,0.039,399,0.039,502
0.04,182,0.04,353,0.04,295,0.04,370,0.04,425,0.04,175,0.04,181,0.04,422,0.04,191,0.04,388
0.041,249,0.041,546,0.041,401,0.041,434,0.041,484,0.041,380,0.041,519,0.041,607,0.041,330,0.041,273
0.042,555,0.042,614,0.042,369,0.042,349,0.042,146,0.042,192,0.042,464,0.042,201,0.042,142,0.042,284
0.043,308,0.043,283,0.043,260,0.043,364,0.043,387,0.043,615,0.043,362,0.043,398,0.043,497,0.043,394
0.044,313,0.044,194,0.044,708,0.044,632,0.044,643,0.044,575,0.044,238,0.044,377,0.044,569,0.044,206
0.045,317,0.045,320,0.045,298,0.045,115,0.045,638,0.045,471,0.045,390,0.045,455,0.045,492,0.045,235
0.046,437,0.046,367,0.046,556,0.046,423,0.046,331,0.046,414,0.046,532,0.046,446,0.046,141,0.046,260
0.047,272,0.047,436,0.047,381,0.047,275,0.047,573,0.047,518,0.047,167,0.047,195,0.047,191,0.047,476
0.048,265,0.048,261,0.048,450,0.048,205,0.048,431,0.048,496,0.048,431,0.048,557,0.048,330,0.048,302
0.049,338,0.049,405,0.049,271,0.049,151,0.049,289,0.049,315,0.049,253,0.049,443,0.049,354,0.049,403
0.05,378,0.05,419,0.05,471,0.05,543,0.05,734,0.05,604,0.05,280,0.05,351,0.05,666,0.05,489
0.051,465,0.051,619,0.051,318,0.051,222,0.051,484,0.051,281,0.051,522,0.051,336,0.051,356,0.051,372
0.052,245,0.052,276,0.052,384,0.052,461,0.052,266,0.052,383,0.052,115,0.052,403,0.052,287,0.052,242
0.053,246,0.053,273,0.053,255,0.053,218,0.053,267,0.053,281,0.053,396,0.053,454,0.053,575,0.053,282
0.054,447,0.054,524,0.054,374,0.054,638,0.054,297,0.054,492,0.054,216,0.054,150,0.054,524,0.054,471
0.055,323,0.055,231,0.055,421,0.055,216,0.055,638,0.055,401,0.055,290,0.055,354,0.055,249,0.055,361
0.056,540,0.056,396,0.056,521,0.056,356,0.056,275,0.056,451,0.056,264,0.056,395,0.056,295,0.056,261
0.057,347,0.057,265,0.057,382,0.057,555,0.057,336,0.057,263,0.057,542,0.057,535,0.057,413,0.057,440
0.058,474,0.058,621,0.058,395,0.058,82,0.058,375,0.058,274,0.058,439,0.058,318,0.058,334,0.058,222
0.059,550,0.059,313,0.059,321,0.059,124,0.059,678,0.059,85,0.059,351,0.059,277,0.059,422,0.059,152
0.06,380,0.06,383,0.06,527,0.06,121,0.06,657,0.06,332,0.06,108,0.06,243,0.06,285,0.06,311
0.061,744,0.061,286,0.061,242,0.061,344,0.061,235,0.061,457,0.061,381,0.061,254,0.061,323,0.061,364
0.062,397,0.062,184,0.062,521,0.062,267,0.062,274,0.062,390,0.062,272,0.062,431,0.062,255,0.062,544
0.063,453,0.063,211,0.063,358,0.063,323,0.063,248,0.063,483,0.063,411,0.063,444,0.063,329,0.063,372
0.064,444,0.064,393,0.064,483,0.064,197,0.064,512,0.064,168,0.064,377,0.064,191,0.064,387,0.064,366
0.065,195,0.065,363,0.065,358,0.065,673,0.065,340,0.065,308,0.065,420,0.065,157,0.065,503,0.065,492
0.066,399,0.066,467,0.066,246,0.066,460,0.066,235,0.066,573,0.066,457,0.066,583,0.066,325,0.066,316
0.067,194,0.067,150,0.067,344,0.067,307,0.067,549,0.067,270,0.067,372,0.067,232,0.067,177,0.067,334
0.068,716,0.068,395,0.068,476,0.068,187,0.068,212,0.068,276,0.068,404,0.068,646,0.068,490,0.068,364
0.069,114,0.069,540,0.069,463,0.069,435,0.069,236,0.069,449,0.069,394,0.069,246,0.069,483,0.069,523
0.07,537,0.07,129,0.07,342,0.07,371,0.07,301,0.07,311,0.07,389,0.07,405,0.07,355,0.07,310
0.071,490,0.071,366,0.071,254,0.071,216,0.071,304,0.071,424,0.071,422,0.071,432,0.071,487,0.071,302
0.072,660,0.072,151,0.072,297,0.072,271,0.072,316,0.072,358,0.072,351,0.072,447,0.072,365,0.072,434
0.073,438,0.073,414,0.073,219,0.073,485,0.073,317,0.073,385,0.073,375,0.073,348,0.073,706,0.073,590
0.074,577,0.074,431,0.074,178,0.074,531,0.074,475,0.074,381,0.074,185,0.074,192,0.074,386,0.074,79
0.075,531,0.075,514,0.075,316,0.075,276,0.075,394,0.075,337,0.075,369,0.075,408,0.075,246,0.075,250
0.076,400,0.076,366,0.076,447,0.076,238,0.076,383,0.076,216,0.076,257,0.076,616,0.076,646,0.076,375
0.077,338,0.077,248,0.077,259,0.077,602,0.077,423,0.077,522,0.077,250,0.077,315,0.077,706,0.077,543
0.078,382,0.078,342,0.078,422,0.078,403,0.078,133,0.078,343,0.078,591,0.078,573,0.078,241,0.078,330
0.079,525,0.079,379,0.079,365,0.079,299,0.079,465,0.079,103,0.079,342,0.079,323,0.079,641,0.079,271
0.08,277,0.08,167,0.08,294,0.08,448,0.08,214,0.08,470,0.08,555,0.08,559,0.08,295,0.08,169
0.081,413,0.081,289,0.081,287,0.081,453,0.081,588,0.081,256,0.081,301,0.081,179,0.081,132,0.081,386
0.082,276,0.082,617,0.082,345,0.082,324,0.082,747,0.082,270,0.082,485,0.082,324,0.082,436,0.082,396
0.083,629,0.083,386,0.083,287,0.083,286,0.083,273,0.083,344,0.083,221,0.083,370,0.083,513,0.083,96
0.084,384,0.084,272,0.084,350,0.084,112,0.084,197,0.084,263,0.084,1055,0.084,693,0.084,748,0.084,154
0.085,500,0.085,342,0.085,331,0.085,463,0.085,303,0.085,315,0.085,477,0.085,372,0.085,330,0.085,254
0.086,761,0.086,287,0.086,227,0.086,293,0.086,659,0.086,287,0.086,217,0.086,409,0.086,404,0.086,390
0.087,421,0.087,269,0.087,426,0.087,628,0.087,354,0.087,392,0.087,440,0.087,411,0.087,106,0.087,187
0.088,443,0.088,235,0.088,371,0.088,444,0.088,354,0.088,497,0.088,304,0.088,472,0.088,782,0.088,435
0.089,295,0.089,255,0.089,305,0.089,359,0.089,241,0.089,307,0.089,557,0.089,199,0.089,268,0.089,227
0.09,294,0.09,322,0.09,233,0.09,267,0.09,167,0.09,378,0.09,425,0.09,76,0.09,343,0.09,366
0.091,230,0.091,436,0.091,275,0.091,388,0.091,162,0.091,255,0.091,337,0.091,452,0.091,572,0.091,395
0.092,391,0.092,136,0.092,599,0.092,496,0.092,272,0.092,54,0.092,342,0.092,233,0.092,510,0.092,546
0.093,550,0.093,356,0.093,312,0.093,345,0.093,502,0.093,432,0.093,400,0.093,380,0.093,230,0.093,282
0.094,535,0.094,389,0.094,817,0.094,566,0.094,697,0.094,219,0.094,298,0.094,303,0.094,224,0.094,313
0.095,222,0.095,264,0.095,581,0.095,387,0.095,420,0.095,602,0.095,613,0.095,363,0.095,426,0.095,388
0.096,364,0.096,456,0.096,373,0.096,363,0.096,418,0.096,395,0.096,182,0.096,391,0.096,376,0.096,379
0.097,336,0.097,487,0.097,269,0.097,218,0.097,387,0.097,399,0.097,264,0.097,859,0.097,354,0.097,441
0.098,542,0.098,521,0.098,334,0.098,197,0.098,523,0.098,349,0.098,464,0.098,331,0.098,417,0.098,397
0.099,299,0.099,319,0.099,418,0.099,305,0.099,278,0.099,491,0.099,402,0.099,314,0.099,252,0.099,524
0.1,342,0.1,302,0.1,398,0.1,161,0.1,501,0.1,493,0.1,436,0.1,690,0.1,280,0.1,283
0.101,480,0.101,316,0.101,239,0.101,607,0.101,397,0.101,648,0.101,634,0.101,563,0.101,461,0.101,433
0.102,348,0.102,10,0.102,402,0.102,331,0.102,410,0.102,399,0.102,571,0.102,288,0.102,232,0.102,509
0.103,551,0.103,405,0.103,417,0.103,395,0.103,181,0.103,185,0.103,511,0.103,180,0.103,754,0.103,351
0.104,439,0.104,704,0.104,476,0.104,269,0.104,576,0.104,372,0.104,513,0.104,96,0.104,110,0.104,368
0.105,380,0.105,457,0.105,436,0.105,589,0.105,391,0.105,132,0.105,371,0.105,419,0.105,206,0.105,258
0.106,459,0.106,234,0.106,551,0.106,317,0.106,131,0.106,361,0.106,484,0.106,246,0.106,397,0.106,244
0.107,230,0.107,346,0.107,295,0.107,420,0.107,521,0.107,557,0.107,431,0.107,672,0.107,386,0.107,333
0.108,353,0.108,202,0.108,326,0.108,292,0.108,330,0.108,386,0.108,398,0.108,524,0.108,368,0.108,336
0.109,434,0.109,505,0.109,281,0.109,299,0.109,451,0.109,412,0.109,376,0.109,189,0.109,356,0.109,247
0.11,213,0.11,255,0.11,414,0.11,479,0.11,117,0.11,327,0.11,678,0.11,249,0.11,333,0.11,330
0.111,281,0.111,997,0.111,326,0.111,421,0.111,499,0.111,573,0.111,406,0.111,352,0.111,361,0.111,342
0.112,278,0.112,424,0.112,657,0.112,310,0.112,329,0.112,355,0.112,404,0.112,409,0.112,308,0.112,432
0.113,542,0.113,403,0.113,417,0.113,235,0.113,539,0.113,326,0.113,306,0.113,454,0.113,635,0.113,402
0.114,116,0.114,211,0.114,422,0.114,280,0.114,353,0.114,618,0.114,373,0.114,601,0.114,212,0.114,506
0.115,674,0.115,516,0.115,401,0.115,429,0.115,582,0.115,365,0.115,545,0.115,306,0.115,311,0.115,339
0.116,56,0.116,359,0.116,479,0.116,630,0.116,348,0.116,246,0.116,427,0.116,356,0.116,471,0.116,331
0.117,500,0.117,295,0.117,418,0.117,332,0.117,242,0.117,246,0.117,543,0.117,673,0.117,223,0.117,368
0.118,619,0.118,385,0.118,185,0.118,704,0.118,454,0.118,327,0.118,452,0.118,289,0.118,477,0.118,233
0.119,476,0.119,387,0.119,354,0.119,427,0.119,377,0.119,263,0.119,355,0.119,243,0.119,710,0.119,750
0.12,252,0.12,368,0.12,183,0.12,192,0.12,340,0.12,220,0.12,232,0.12,464,0.12,373,0.12,505
0.121,446,0.121,199,0.121,195,0.121,281,0.121,290,0.121,358,0.121,318,0.121,342,0.121,394,0.121,167
0.122,381,0.122,445,0.122,485,0.122,455,0.122,247,0.122,552,0.122,446,0.122,404,0.122,539,0.122,501
0.123,388,0.123,258,0.123,499,0.123,266,0.123,410,0.123,379,0.123,206,0.123,515,0.123,390,0.123,313
0.124,292,0.124,550,0.124,294,0.124,351,0.124,234,0.124,230,0.124,299,0.124,411,0.124,419,0.124,452
0.125,306,0.125,276,0.125,382,0.125,333,0.125,304,0.125,370,0.125,331,0.125,321,0.125,147,0.125,425
0.126,398,0.126,416,0.126,394,0.126,612,0.126,497,0.126,380,0.126,376,0.126,473,0.126,379,0.126,240
0.127,359,0.127,668,0.127,436,0.127,665,0.127,462,0.127,428,0.127,208,0.127,512,0.127,497,0.127,291
0.128,200,0.128,180,0.128,432,0.128,515,0.128,281,0.128,250,0.128,277,0.128,319,0.128,525,0.128,336
0.129,686,0.129,196,0.129,299,0.129,275,0.129,352,0.129,353,0.129,626,0.129,371,0.129,314,0.129,194
0.13,322,0.13,582,0.13,535,0.13,427,0.13,319,0.13,431,0.13,381,0.13,275,0.13,247,0.13,354
0.131,105,0.131,400,0.131,407,0.131,572,0.131,441,0.131,266,0.131,173,0.131,449,0.131,403,0.131,506
0.132,470,0.132,353,0.132,362,0.132,334,0.132,230,0.132,274,0.132,399,0.132,313,0.132,156,0.132,644
0.133,357,0.133,374,0.133,349,0.133,322,0.133,387,0.133,314,0.133,312,0.133,309,0.133,318,0.133,401
0.134,510,0.134,480,0.134,361,0.134,473,0.134,288,0.134,347,0.134,142,0.134,343,0.134,487,0.134,361
0.135,381,0.135,197,0.135,546,0.135,276,0.135,377,0.135,319,0.135,323,0.135,585,0.135,517,0.135,466
0.136,276,0.136,265,0.136,468,0.136,387,0.136,94,0.136,324,0.136,441,0.136,392,0.136,222,0.136,517
0.137,278,0.137,317,0.137,322,0.137,311,0.137,169,0.137,330,0.137,328,0.137,517,0.137,333,0.137,300
0.138,427,0.138,313,0.138,107,0.138,432,0.138,351,0.138,385,0.138,140,0.138,456,0.138,317,0.138,237
0.139,316,0.139,229,0.139,343,0.139,502,0.139,255,0.139,237,0.139,199,0.139,309,0.139,308,0.139,501
0.14,228,0.14,336,0.14,345,0.14,497,0.14,281,0.14,349,0.14,306,0.14,135,0.14,412,0.14,437
0.141,310,0.141,307,0.141,301,0.141,252,0.141,375,0.141,99,0.141,167,0.141,191,0.141,264,0.141,350
0.142,369,0.142,350,0.142,408,0.142,216,0.142,451,0.142,427,0.142,265,0.142,157,0.142,142,0.142,414
0.143,401,0.143,195,0.143,293,0.143,333,0.143,428,0.143,141,0.143,290,0.143,156,0.143,389,0.143,583
0.144,294,0.144,401,0.144,337,0.144,178,0.144,409,0.144,143,0.144,343,0.144,444,0.144,421,0.144,295
0.145,526,0.145,397,0.145,489,0.145,235,0.145,324,0.145,68,0.145,690,0.145,148,0.145,344,0.145,528
0.146,232,0.146,355,0.146,739,0.146,125,0.146,350,0.146,413,0.146,244,0.146,404,0.146,357,0.146,296
0.147,260,0.147,320,0.147,404,0.147,479,0.147,353,0.147,241,0.147,510,0.147,514,0.147,393,0.147,408
0.148,323,0.148,405,0.148,398,0.148,350,0.148,245,0.148,570,0.148,180,0.148,513,0.148,321,0.148,334
0.149,250,0.149,355,0.149,363,0.149,357,0.149,273,0.149,151,0.149,466,0.149,318,0.149,358,0.149,518
0.15,282,0.15,478,0.15,339,0.15,402,0.15,302,0.15,414,0.15,379,0.15,577,0.15,408,0.15,331
0.151,436,0.151,113,0.151,407,0.151,415,0.151,360,0.151,234,0.151,298,0.151,355,0.151,276,0.151,596
0.152,413,0.152,288,0.152,181,0.152,357,0.152,317,0.152,609,0.152,369,0.152,231,0.152,378,0.152,277
0.153,503,0.153,309,0.153,157,0.153,195,0.153,384,0.153,212,0.153,352,0.153,507,0.153,329,0.153,374
